world,science,uk,us,teesside,tyneside,sunderland,worcester,bedford
"[('Four dead and 28 injured at US 16th birthday party shooting', 0.77448570728302)]","[(""Juice rocket blasts off to explore Jupiter's icy moons – video"", 0.681249737739563), ('Juice mission blasts off to Jupiter to look for signs of life', 0.6221550107002258), ('Juice Mission: why has the search for alien life moved to Jupiter’s moons?', 0.5769863128662109)]","[('NHS crisis deepens as nursing union plans ‘mega strike’ in England', 0.5652462244033813)]","[('Delaware judge delays start of trial in Dominion lawsuit against Fox News', 0.8641374111175537), ('What to expect in the Dominion v. Fox defamation trial', 0.5499699115753174)]","[(""'Only thing off was your mood': Straight-talking pizza shop boss hits back at bad Just Eat reviews"", 0.5393366813659668)]","[(""Teenager accused of North East park murder says he took knife, 'for re-assurance'"", 0.5365185737609863)]","[(""Sunderland's Birmingham win keeps play-off hopes alive - and Tony Mowbray treading a fine line"", 0.5317842960357666), ('Tony Mowbray sets Sunderland last-day target after Birmingham win keeps them in the play-off hunt', 0.5042130947113037), (""How to get SunderlandLive's top stories sent straight to your inbox with our newsletters"", 0.5023514628410339)]","[('Here is why there were police cars on London Road', 0.651728630065918)]","[('Police issue update after explosion at Sharbrook home', 0.547042965888977), ('Man hospitalised with serious injuries after Sharnbrook explosion on Easter Monday', 0.517864465713501)]"
"[('EU rejects Ukraine grain ban by Poland and Hungary', 0.7091735601425171), ('Poland, Hungary ban grain and food imports from Ukraine', 0.606489360332489)]","[('Does climate breakdown mean we’re doomed? No: if we’re brave, big change can happen fast', 0.5173156261444092)]","[('Eurovision hits UK as its stars warm up in front of UK crowd ahead of Liverpool spectacular', 0.5092377662658691)]","[('Four dead and 28 injured in Alabama 16th birthday shooting', 0.8798454999923706), (""Four dead in Alabama 'Sweet 16' birthday party shooting"", 0.8650859594345093), ('Four people killed and others injured in Alabama shooting – video', 0.7745984196662903)]","[('Shutters pulled down for the final time at landmark M&S store after 122 years', 0.6123258471488953)]","[('Heartbroken family pay tribute to dedicated father killed outside North East pub', 0.581875741481781)]","[('New £1m New Look store to open in North East shopping centre', 0.749594509601593), (""Work underway on huge new Tesco and Home Bargains stores - here's when they'll open"", 0.5142950415611267)]","[('Police cars swoop on a busy road in the city', 0.651728630065918)]","[('Sharnbrook explosion investigation handed over to major crime unit as locals return home', 0.547042965888977)]"
"[('Six adults and child, 7, killed in shooting at Mexican holiday resort', 0.7296848893165588)]","[('Botanist Stefano Mancuso: ‘You can anaesthetise all plants. This is extremely fascinating’', 0.8952489495277405)]","[('New smart motorways to be banned after safety concerns - find out which ones have been scrapped', 0.6153008341789246)]","[(""Debt ceiling fight shows stakes of Feinstein's Senate absence, Klobuchar says"", 0.5104969143867493)]","[('Home approved for vulnerable children with special needs despite objections', 0.5364441275596619)]","[('Police release image after man is allegedly raped at popular city centre bar', 0.6926209926605225), ('Police release image after man is allegedly assaulted in North East nightclub', 0.6462507247924805)]","[('Ten-man Sunderland close to within a point of play-offs after coming from behind against Birmingham', 0.5023514628410339)]","[('Police officer dies after collapsing on duty', 0.5191202759742737)]","[(""Met Office long-range forecast reveals UK set for 'unsettled' conditions across the rest of April"", 0.5888758301734924)]"
"[('Former Indian MP shot dead live on TV', 0.7305822372436523), ('Indian gangster-turned-politician shot dead on live television', 0.6873672008514404), ('Gunmen kill former Indian MP on live television', 0.6167944073677063), ('Moments before former Indian MP shot live on TV', 0.5678458213806152)]","[(""Juice rocket blasts off to explore Jupiter's icy moons – video"", 0.7475017309188843), ('Juice Mission: why has the search for alien life moved to Jupiter’s moons?', 0.6520505547523499), (""Blast off for Europe's Jupiter icy moons mission"", 0.6221550107002258)]","[('Horse racing-BHA analysing horse deaths at Grand National, condemns protesters', 0.7753222584724426), (""'A disgrace': Animal rights groups call for jump racing ban after three horses die at Aintree"", 0.5903153419494629), (""Protesters are to blame for my horse's death at the Grand National, trainer claims"", 0.5766137838363647)]","[('USA women put nine past Czech Republic in world ice hockey semi-final', 0.6754145622253418)]","[('Pizza shop with turbulent food hygiene history told to improve after being slapped with 2* rating', 0.5393366813659668)]","[(""Then and Now: A famous Newcastle scene from TV's Whatever Happened To The Likely Lads?"", 0.6744809746742249)]","[('Tony Mowbray sets Sunderland last-day target after Birmingham win keeps them in the play-off hunt', 0.5078948140144348), (""Amad's winning Sunderland goal branded 'a touch of class' by Birmingham City boss John Eustace"", 0.5004367828369141)]","[('Tributes to West Mercia officer who died on duty', 0.5191202759742737)]","[('Sharnbrook explosion investigation handed over to major crime unit as locals return home', 0.517864465713501)]"
"[('Ukraine live briefing: Chinese defense minister meets Putin in Moscow; Ukrainians still digging for survivors of Russian strike', 0.5584854483604431)]","[('Four ways climate change is affecting weather', 0.5173156261444092)]","[(""Protesters delay UK's Grand National horse race, 118 arrested"", 0.5400841236114502)]","[('USA defeat Canada in women’s ice hockey world championship final – live', 0.6754145622253418)]","[(""Children's home plan for five-bed house approved despite fears it could make life a 'living hell'"", 0.5364441275596619)]","[('A night out in Newcastle 20 years ago - 10 photographs of lads and lasses on the Toon', 0.6744809746742249), ('The Rock On The Tyne festival at Gateshead in 1981 - what became of the fans in our photos?', 0.5371874570846558)]","[('Tony Mowbray sets Sunderland last-day target after Birmingham win keeps them in the play-off hunt', 0.6293875575065613), ('Ten-man Sunderland close to within a point of play-offs after coming from behind against Birmingham', 0.5317842960357666)]",,"[(""UK weather: When temperatures will be 'above average' according to new Met Office forecast"", 0.5888758301734924)]"
"[('EU rejects Ukraine grain ban by Poland and Hungary', 0.7416930198669434), ('EU warns against unilateral steps after Poland, Hungary ban Ukrainian grain', 0.606489360332489)]","[('The Guardian view on regulating AI: it won’t wait, so governments can’t', 0.5247851610183716)]","[('Further nursing strikes ‘not sustainable’ for NHS, ministers warned', 0.5969023704528809), ('Nurses in England reject pay offer, plan more strikes', 0.5679409503936768), (""'Full and final' pay offer made to nurses, as NHS leader warns escalation of action would 'endanger patient safety'"", 0.5504902601242065), ('Why NHS in England appears destined for months of further strikes', 0.5301280617713928)]","[(""Supreme Court's Alito temporarily blocks abortion-pill curbs"", 0.5424195528030396)]","[('Police are trying to find missing North East man Thomas Levitt - have you seen him?', 0.601189374923706)]","[(""Who were Raoul Moat's accomplices?: How Karl Ness and Qhuram Awan became involved in gunman's murderous plot"", 0.6642693281173706), ('Retired cop Neil Adamson on why Raoul Moat drama was inevitable', 0.5705826878547668)]","[(""Tony Mowbray addresses Amad's future and how he could return to Sunderland next season"", 0.5004367828369141)]",,
"[('Airstrikes hit Sudanese capital as paramilitary force clashes with army', 0.5435447096824646), ('Sudan’s army and rival force battle, killing at least 56', 0.5098140239715576)]","[('As AI weaponry enters the arms race, America is feeling very, very afraid', 0.5247851610183716)]","[(""Delivery driver hit by his own van and dragged 'considerable distance' dies"", 0.8208239078521729), ('Delivery driver who was hit by own van has died, say Cardiff police', 0.7250741124153137)]","[('Republican Mike Pompeo says he will not seek U.S. presidential nomination', 0.7846570014953613)]","[('A look back at retail giant M&S as iconic Middlesbrough store closes its doors', 0.6123258471488953)]","[('Who was Raoul Moat? The Newcastle killer who sparked dramatic manhunt that inspired ITV drama', 0.6642693281173706), ('Retired cop Neil Adamson on why Raoul Moat drama was inevitable', 0.568268895149231)]","[(""Sunderland's Birmingham win keeps play-off hopes alive - and Tony Mowbray treading a fine line"", 0.6293875575065613), (""Tony Mowbray addresses Amad's future and how he could return to Sunderland next season"", 0.5078948140144348), ('Ten-man Sunderland close to within a point of play-offs after coming from behind against Birmingham', 0.5042130947113037)]",,
"[('Europe’s most powerful nuclear reactor kicks off in Finland', 0.7175344824790955), ('Over and out: Germany switches off its last nuclear plants', 0.5003437995910645)]","[('Juice mission blasts off to Jupiter to look for signs of life', 0.6520505547523499), (""Blast off for Europe's Jupiter icy moons mission"", 0.5769863128662109), (""Juice rocket blasts off to explore Jupiter's icy moons – video"", 0.5058267116546631)]","[('Election countdown - Is there a vote in my area?', 0.5553322434425354)]","[('What the leaked Pentagon files show', 0.5111713409423828)]","[('Missing man now located: Man last seen in North East town now found', 0.601189374923706)]","[('Who was Raoul Moat? The Newcastle killer who sparked dramatic manhunt that inspired ITV drama', 0.5705826878547668), (""Who were Raoul Moat's accomplices?: How Karl Ness and Qhuram Awan became involved in gunman's murderous plot"", 0.568268895149231)]","[('The North East fish and chip shops with the worst food-hygiene ratings this Good Friday', 0.5518222451210022)]",,
"[('Watch: Wagner Group releases 100 Ukrainian prisoners of war', 0.8825007081031799), ('Dozens of POWs freed as Ukraine marks Orthodox Easter', 0.6236631870269775)]","[('‘You can anaesthetise all plants. This is extremely fascinating’', 0.8952489495277405)]","[('Election countdown - Is there a vote in my area?', 0.526381254196167)]","[('Four dead and 28 injured in Alabama 16th birthday shooting', 0.8011561632156372), ('Four people killed and 28 injured in Alabama shooting at birthday party', 0.7745984196662903), (""Four dead in Alabama 'Sweet 16' birthday party shooting"", 0.6307578086853027)]","[(""John Askey's message to Hartlepool United players in League Two survival scrap"", 0.5955076813697815)]","[(""Former Gateshead factory workers 'left desolate' and unable to pay bills or for Christmas presents after redundancy cash delayed 'until the New Year'"", 0.5624560713768005)]","[('Chronicle Live readers pick their favourite North East fish and chip shop with one clear winner', 0.5518222451210022)]",,
"[('EU rejects Ukraine grain ban by Poland and Hungary', 0.5936697125434875)]","[('Juice mission blasts off to Jupiter to look for signs of life', 0.7475017309188843), (""Blast off for Europe's Jupiter icy moons mission"", 0.681249737739563), ('Juice Mission: why has the search for alien life moved to Jupiter’s moons?', 0.5058267116546631)]","[('How do I register to vote and what is the deadline?', 0.5553322434425354), (""What to expect from May's local elections in England"", 0.526381254196167)]","[('Four people killed and 28 injured in Alabama shooting at birthday party', 0.8650859594345093), ('Four dead and 28 injured in Alabama 16th birthday shooting', 0.8174525499343872), ('Four people killed and others injured in Alabama shooting – video', 0.6307578086853027)]","[('Getting key man back to his best could be decisive for Hartlepool in survival scrap', 0.5955076813697815)]","[(""Then and Now: A famous Newcastle scene from TV's Whatever Happened To The Likely Lads?"", 0.5371874570846558)]","[('See inside huge New Look store as it opens at The Bridges in Sunderland after £1m investment', 0.749594509601593)]",,
